Case ID,Scenario,Execution action,Programme,Topics,Provider,Model,Prompt tokens,Completion tokens,Total tokens,Generation seconds,Grounded,Citations valid,Hallucination indicator,Quality score,Quality label,Review required,Automatic send,Manual review result,Manual review notes
MM-001-MPMD-MULTITOPIC-EN,known_programme_multitopic,HANS_MODEL_EVALUATION,Project Management and Data Science,"application_deadline, required_documents, language_of_instruction, study_format",htw_ollama,llama3.1:8b,3642,339,3981,64.092,True,True,False,70,review,True,False,Acceptable with limitations,Deadline and language were useful; document coverage was not fully exhaustive.
MM-002-UNKNOWN-PROGRAMME-EN,unknown_programme_safety,HANS_SAFETY_NO_GENERATION,,"application_deadline, required_documents",,,,,,,False,False,False,75,review,True,False,Clean / safe pass,Unknown programme handled safely without fabricating programme-specific facts; no model generation required.
MM-003-MPMD-GERMAN,german_known_programme,HANS_MODEL_EVALUATION,Project Management and Data Science,"application_deadline, required_documents",htw_ollama,llama3.1:8b,2334,486,2820,58.193,True,True,False,100,good,True,False,Acceptable with limitations,Functional German draft; wording and citation quality still require staff review.
MM-004-FOLLOWUP-FIRST,followup_sequence,HANS_MODEL_EVALUATION,Project Management and Data Science,application_deadline,htw_ollama,llama3.1:8b,1442,235,1677,28.018,False,False,True,60,review,True,False,Substantive staff edit required,"Correct main deadline, but unsupported/unasked content appeared; automated validation caught the issue."
MM-005-FOLLOWUP-SECOND,followup_sequence,HANS_MODEL_EVALUATION,Project Management and Data Science,english_language_requirements,htw_ollama,llama3.1:8b,1362,277,1639,30.262,True,True,False,100,good,True,False,Clean / safe pass,English-language requirements were clearly supported.
MM-006-OUT-OF-SCOPE,hop_skip,HOP_SKIP,,,,,,,,,,,,,,,,Clean / safe pass,Correctly skipped by workflow design.
MM-007-IB-PENDING-GRADUATION,hard_multitopic_pending_graduation,HANS_MODEL_EVALUATION,International Business,"application_before_graduation, english_language_requirements, application_fee",htw_ollama,llama3.1:8b,3367,495,3862,69.632,True,True,False,100,good,True,False,Substantive staff edit required,Pending-graduation logic was useful; fee/route wording required correction and the automated score did not fully capture the issue.
MM-008-DUAL-CITIZEN-ROUTE,hard_application_route_and_recognition,HANS_MODEL_EVALUATION,,"application_route, qualification_recognition",htw_ollama,llama3.1:8b,3005,379,3384,55.257,True,True,False,100,good,True,False,Clean / safe pass,Route and qualification recognition were separated more carefully; VPD claim remained cautious.
